prod_id,prod_title,price,category,brand,stock,asin
PROD-10000,  Enterprise-wide optimizing core  ,476.35,Beauty,Philips,408,BTU1KPEPTC
PROD-10001,  Cross-platform incremental adapter  ,453.36,Apparel,APPLE,199,BXA3RAFX6W
PROD-10002,  Ergonomic web-enabled moratorium  ,272.94,Home & Kitchen,Philips,302,BCQOZLLDWX
PROD-10003,  Down-sized client-driven model  ,493.71,Home & Kitchen,APPLE,281,BOVHSH4BS9
PROD-10004,  Devolved bandwidth-monitored knowledge user  ,37.35,electronics,Philips,375,BUROK3TXGU
PROD-10005,  Face-to-face executive open architecture  ,124.99,Electronics,Philips,349,B29ZU4GXR2
PROD-10006,  Balanced empowering capability  ,220.63,Beauty,Samsung,73,BGYWX67SI6
PROD-10007,  Multi-tiered asynchronous framework  ,175.13,Home & Kitchen,Apple,379,B13L7TC74P
PROD-10008,  Implemented background core  ,251.28,Home & Kitchen,Samsung,180,BQTZRFOL8O
PROD-10009,  Enhanced high-level knowledge user  ,457.88,Sports,Nike,65,BAZ56DU34B
PROD-10010,  Advanced contextually-based emulation  ,423.63,Beauty,Apple,401,B2T2KGR5RO
PROD-10011,  Managed multimedia Local Area Network  ,411.93,ELECTRONICS,Apple,281,BV3Y8FQ39K
PROD-10012,  Persistent transitional synergy  ,242.91,Home & Kitchen,Sony,317,B9R44BCL0T
PROD-10013,  Synergistic explicit encoding  ,35.09,electronics,Apple,9,B1FFS4OKIX
PROD-10014,  Polarized tangible productivity  ,274.13,electronics,SONY,42,BFEOMEJK4H
PROD-10015,  Customizable human-resource standardization  ,92.9,Electronics,SONY,236,B8QH7DB1BX
PROD-10016,  Digitized dynamic matrix  ,90.93,Beauty,APPLE,55,BFQ0M53L9V
PROD-10017,  Managed cohesive challenge  ,18.2,Books,SONY,390,BK2H4QYJC1
PROD-10018,  Vision-oriented bi-directional hub  ,264.22,electronics,APPLE,220,B3FBJP6AL7
PROD-10019,  Compatible directional groupware  ,327.77,Sports,Nike,174,BL5SZXMQBG
